indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
0	Hum Aapke Hain Koun..!	11	35	206	Drama	0	Rajshri Productions Pvt. Ltd.	Madhuri Dixit|Salman Khan|Mohnish Bahl|Renuka Shahane	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none
1	Bahubali 2 - The Conclusion	3517	3950	167	Romance	1	Arka Mediaworks|Dharma Productions Pvt. Ltd.	Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia	S.S. Rajamouli	K. Raghavendra Rao|Shobu Yarlagadda|Prasad Devineni	M.M. Kreem	Manoj Muntashir	S.S. Rajamouli	none	none
2	Gadar - Ek Prem Katha	657	350	178	Action	0	Zee Motion Pictures	Sunny Deol|Ameesha Patel|Amrish Puri|Lillete Dubey	Anil Sharma	Nitin Keni	Uttam Singh	Anand Bakshi	Shaktimaan	Shaktimaan	Shaktimaan
3	Dilwale Dulhania Le Jayenge	3036	180	189	Romance	0	Yash Raj Films	Shahrukh Khan|Kajol|Amrish Puri|Farida Jalal	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Javed Siddique|Aditya Chopra	none
4	Raja Hindustani	2737	185	171	Romance	0	Cineyug Films Pvt. Ltd.	Aamir Khan|Karisma Kapoor|Suresh Oberoi|Johny Lever	Dharmesh Darshan	Bunty Soorma|Karim Morani|Ali Morani	Nadeem-Shravan	Sameer	Robin Bhatt	none	none
5	Dangal	3443	4250	161	Drama	0	Aamir Khan Productions|UTV Motion Pictures	Aamir Khan|Sakshi Tanwar|Fatima Sana Shaikh|Sanya Malhotra	Nitish Tiwari	Aamir Khan|Kiran Rao|Siddharth Roy Kapur	Pritam	Amitabh Bhattacharya	Shreyas Jain	none	none
6	Border	2678	290	176	Action	0	J.P. Films	Rakhee|Sunny Deol|Jackie Shroff|Suneil Shetty	J.P. Dutta	J.P. Dutta	Anu Malik	Javed Akhtar	J.P. Dutta	O.P. Dutta	J.P. Dutta
7	Kuch Kuch Hota Hai	2514	240	185	Romance	0	Dharma Productions Pvt. Ltd.	Shahrukh Khan|Kajol|Rani Mukherjee|Farida Jalal	Karan Johar	Yash Johar	Jatin-Lalit	Sameer	Karan Johar	Karan Johar	Karan Johar
8	Bajrangi Bhaijaan	2899	4100	159	Romance	0	Eros International|Salman Khan Films	Salman Khan|Kareena Kapoor|Nawazuddin Siddiqui|Harshaali Malhotra	Kabir Khan	Salman Khan|Rockline Venkatesh	Pritam	Mayur Puri|Amitabh Bhattacharya|Kausar Munir	none	none	none
9	PK	2482	3600	153	Drama	0	Rajkumar Hirani Films|UTV Motion Pictures|Vidhu Vinod Chopra Productions	Aamir Khan|Anushka Sharma|Sanjay Dutt|Saurabh Shukla	Rajkumar Hirani	Rajkumar Hirani|Vidhu Vinod Chopra	Ajay-Atul|Shantanu Moitra	Swanand Kirkire|Amitabh Verma	none	none	none
