film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Hum Aapke Hain Koun..!	11	1	5-Aug-94	All Time Blockbuster	62500000	6800000	724650000
Bahubali 2 - The Conclusion	3517	2	28-Apr-17	All Time Blockbuster	1950000000	2464700000	5103600000
Gadar - Ek Prem Katha	657	3	15-Jun-01	All Time Blockbuster	190000000	92800000	768800000
Dilwale Dulhania Le Jayenge	3036	4	20-Oct-95	All Time Blockbuster	40000000	33725000	533125000
Raja Hindustani	2737	5	11-Nov-96	All Time Blockbuster	57500000	36500000	431450000
Dangal	3443	6	23-Dec-16	All Time Blockbuster	1320000000	1923800000	3745300000
Border	2678	7	13-Jun-97	All Time Blockbuster	100000000	61900000	394550000
Kuch Kuch Hota Hai	2514	8	16-Oct-98	All Time Blockbuster	100000000	56400000	468650000
Bajrangi Bhaijaan	2899	9	17-Jul-15	All Time Blockbuster	1250000000	1835200000	3154900000
PK	2482	10	19-Dec-14	All Time Blockbuster	1220000000	1812600000	3377250000
3 Idiots	136	11	24-Dec-09	All Time Blockbuster	770000000	762600000	2013725000
Dhoom 3	1956	12	20-Dec-13	All Time Blockbuster	1750000000	1731200000	2606300000
Tiger Zinda Hai	3689	13	22-Dec-17	Blockbuster	2100000000	2060400000	3390000000
Sultan	3317	14	6-Jul-16	Blockbuster	1450000000	2089900000	3006725000
Kabhi Khushi Kabhie Gham...	658	15	14-Dec-01	Blockbuster	400000000	143800000	556500000
Kaho Naa... Pyaar Hai	711	16	14-Jan-00	Blockbuster	100000000	37700000	442750000
Karan Arjun	3032	17	13-Jan-95	Blockbuster	60000000	42850000	252850000
Dil To Pagal Hai	2635	18	31-Oct-97	Blockbuster	90000000	52400000	349700000
Hum Saath Saath Hain	992	19	5-Nov-99	Blockbuster	170000000	81900000	391750000
Padmaavat	3700	20	25-Jan-18	Blockbuster	2150000000	1423500000	2822800000
Mohabbatein	712	21	27-Oct-00	Blockbuster	190000000	76200000	418800000
Chennai Express	1304	23	8-Aug-13	Blockbuster	1150000000	1397000000	2076900000
Dabangg	65	24	10-Sep-10	Blockbuster	410000000	816400000	1412450000
Ek Tha Tiger	887	25	15-Aug-12	Blockbuster	920000000	1280200000	1861450000
