indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio
0	Hum Aapke Hain Koun..!	11	1	1994-08-05	1994	1995	All Time Blockbuster	9	6.25	0.68	72.465	36.062	3.924	418.123	1.0	3.0
1	Bahubali 2 - The Conclusion	3517	2	2017-04-28	2017	2015	All Time Blockbuster	9	195.0	246.47	510.36	234.0	295.764	612.432	1.0	3.0
2	Gadar - Ek Prem Katha	657	3	2001-06-15	2001	2000	All Time Blockbuster	9	19.0	9.28	76.88	64.79	31.645	262.161	1.0	3.0
3	Dilwale Dulhania Le Jayenge	3036	4	1995-10-20	1995	1995	All Time Blockbuster	9	4.0	3.373	53.313	21.08	17.776	280.96	1.0	3.0
4	Raja Hindustani	2737	5	1996-11-11	1996	1995	All Time Blockbuster	9	5.75	3.65	43.145	27.6	17.52	207.096	1.0	3.0
5	Dangal	3443	6	2016-12-23	2016	2015	All Time Blockbuster	9	132.0	192.38	374.53	162.36	236.627	460.672	1.0	3.0
6	Border	2678	7	1997-06-13	1997	1995	All Time Blockbuster	9	10.0	6.19	39.455	43.5	26.926	171.629	1.0	3.0
7	Kuch Kuch Hota Hai	2514	8	1998-10-16	1998	1995	All Time Blockbuster	9	10.0	5.64	46.865	40.9	23.068	191.678	1.0	3.0
8	Bajrangi Bhaijaan	2899	9	2015-07-17	2015	2015	All Time Blockbuster	9	125.0	183.52	315.49	162.5	238.576	410.137	1.0	3.0
9	PK	2482	10	2014-12-19	2014	2010	All Time Blockbuster	9	122.0	181.26	337.725	168.36	250.139	466.06	1.0	3.0
10	3 Idiots	136	11	2009-12-24	2009	2005	All Time Blockbuster	9	77.0	76.26	201.373	173.25	171.585	453.089	1.0	3.0
11	Dhoom 3	1956	12	2013-12-20	2013	2010	All Time Blockbuster	9	175.0	173.12	260.63	264.25	261.411	393.551	1.0	2.0
12	Tiger Zinda Hai	3689	13	2017-12-22	2017	2015	Blockbuster	8	210.0	206.04	339.0	252.0	247.248	406.8	1.0	2.0
