	indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio	footfalls	screens	runtime	release_week	holiday_release	multiple_releases	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story	production_banner_exp	production_banner_hits	actors_exp	actors_hits	directors_exp	directors_hits	producers_exp	producers_hits	music_exp	music_hits	lyrics_exp	lyrics_hits	screenplay_exp	screenplay_hits	dialogue_exp	dialogue_hits	story_exp	story_hits	directors_awards	actors_awards	music_awards	lyrics_awards	screenplay_awards	dialogue_awards	story_awards
0	0	Hum Aapke Hain Koun..!	11	1	1994-08-05	1994	1995	All Time Blockbuster	9	6.25	0.68	72.465	36.062	3.924	418.12300000000005	1	3	73962000	35	206	31	0	1	Drama	0	Rajshri Productions Pvt. Ltd.	Madhuri Dixit|Salman Khan|Mohnish Bahl|Renuka Shahane	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1	Bahubali 2 - The Conclusion	3517	2	2017-04-28	2017	2015	All Time Blockbuster	9	195.0	246.47	510.36	234.0	295.764	612.432	1	3	52522000	3950	167	17	0	0	Masala	2	Arka Mediaworks|Dharma Productions Pvt. Ltd.	Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia	S.S. Rajamouli	K. Raghavendra Rao|Shobu Yarlagadda|Prasad Devineni	M.M. Kreem	Manoj Muntashir	S.S. Rajamouli	none	none	19.0	8.0	9.0	4.0	1.0	1.0	3.0	3.0	3.0	1.0	14.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	Gadar - Ek Prem Katha	657	3	2001-06-15	2001	2000	All Time Blockbuster	9	19.0	9.28	76.88	64.79	31.645	262.161	1	3	50573000	350	178	23	0	1	Action	0	Zee Motion Pictures	Sunny Deol|Ameesha Patel|Amrish Puri|Lillete Dubey	Anil Sharma	Nitin Keni	Uttam Singh	Anand Bakshi	Shaktimaan	Shaktimaan	Shaktimaan	0.0	0.0	33.0	11.0	1.0	0.0	0.0	0.0	3.0	1.0	38.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
3	3	Dilwale Dulhania Le Jayenge	3036	4	1995-10-20	1995	1995	All Time Blockbuster	9	4.0	3.373	53.313	21.08	17.776	280.96	1	3	47971000	180	189	42	0	2	Love Story	0	Yash Raj Films	Shahrukh Khan|Kajol|Amrish Puri|Farida Jalal	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Javed Siddique|Aditya Chopra	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4	Raja Hindustani	2737	5	1996-11-11	1996	1995	All Time Blockbuster	9	5.75	3.65	43.145	27.6	17.52	207.09599999999998	1	3	40975000	185	171	45	1	0	Love Story	0	Cineyug Films Pvt. Ltd.	Aamir Khan|Karisma Kapoor|Suresh Oberoi|Johny Lever	Dharmesh Darshan	Bunty Soorma|Karim Morani|Ali Morani	Nadeem-Shravan	Sameer	Robin Bhatt	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5	Dangal	3443	6	2016-12-23	2016	2015	All Time Blockbuster	9	132.0	192.38	374.53	162.36	236.627	460.67199999999997	1	3	36996000	4250	161	51	0	0	Drama	0	Aamir Khan Productions|UTV Motion Pictures	Aamir Khan|Sakshi Tanwar|Fatima Sana Shaikh|Sanya Malhotra	Nitish Tiwari	Aamir Khan|Kiran Rao|Siddharth Roy Kapur	Pritam	Amitabh Bhattacharya	Shreyas Jain	none	none	43.0	10.0	4.0	2.0	2.0	0.0	22.0	5.0	33.0	8.0	37.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
6	6	Border	2678	7	1997-06-13	1997	1995	All Time Blockbuster	9	10.0	6.19	39.455	43.5	26.926	171.62900000000002	1	3	37083000	290	176	23	0	0	Action	0	J.P. Films	Rakhee|Sunny Deol|Jackie Shroff|Suneil Shetty	J.P. Dutta	J.P. Dutta	Anu Malik	Javed Akhtar	J.P. Dutta	O.P. Dutta	J.P. Dutta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	7	Kuch Kuch Hota Hai	2514	8	1998-10-16	1998	1995	All Time Blockbuster	9	10.0	5.64	46.865	40.9	23.068	191.678	1	3	35658000	240	185	41	0	2	Love Story	0	Dharma Productions Pvt. Ltd.	Shahrukh Khan|Kajol|Rani Mukherjee|Farida Jalal	Karan Johar	Yash Johar	Jatin-Lalit	Sameer	Karan Johar	Karan Johar	Karan Johar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	8	Bajrangi Bhaijaan	2899	9	2015-07-17	2015	2015	All Time Blockbuster	9	125.0	183.52	315.49	162.5	238.576	410.13699999999994	1	3	35417000	4100	159	28	1	0	Masala	0	Eros International|Salman Khan Films	Salman Khan|Kareena Kapoor|Nawazuddin Siddiqui|Harshaali Malhotra	Kabir Khan	Salman Khan|Rockline Venkatesh	Pritam	Mayur Puri|Amitabh Bhattacharya|Kausar Munir	none	none	none	45.0	9.0	27.0	11.0	1.0	1.0	1.0	0.0	43.0	10.0	65.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
9	9	PK	2482	10	2014-12-19	2014	2010	All Time Blockbuster	9	122.0	181.26	337.725	168.36	250.139	466.06	1	3	35061000	3600	153	50	0	0	Drama	0	Rajkumar Hirani Films|UTV Motion Pictures|Vidhu Vinod Chopra Productions	Aamir Khan|Anushka Sharma|Sanjay Dutt|Saurabh Shukla	Rajkumar Hirani	Rajkumar Hirani|Vidhu Vinod Chopra	Ajay-Atul|Shantanu Moitra	Swanand Kirkire|Amitabh Verma	none	none	none	45.0	8.0	28.0	6.0	1.0	1.0	2.0	1.0	11.0	5.0	21.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
