yr	category	winner	film
2020	best film	Gully Boy	
2020	critics best film	Sonchiriya (Abhishek Chaubey)	
2020	best actor in a leading role (male)	Ranveer Singh	Gully Boy
2020	critics best actor in a leading role (male)	Ayushmann Khurrana	Article 15
2020	best actor in a leading role (female)	Alia Bhatt	Gully Boy
2020	critics best actor in leading role (female)	Taapsee Pannu	Saand Ki Aankh
2020	best director	Zoya Akhtar	Gully Boy
2020	best actor in a supporting role (male)	Siddhant Chaturvedi	Gully Boy
2020	best actor in a supporting role (female)	Surekha Sikri	Gully Boy
2020	best music album	Mithoon|Amaal Mallik|Vishal Mishra|Sachet-Parampara|Akhil Sachdeva	
2020	best lyrics	Divine Tewari|Ankur Tewari	Gully Boy
2020	best playback singer (male)	Arijit Singh	Kalank
2020	best playback singer (female)	Shilpa Rao	War
2020	best debut director	Aditya Dhar	Uri: The Surgical Strike
2020	best debut male	Abhimanyu Dassani	Mard Ko Dard Nahi Hota
2020	best debut female	Ananya Panday	Student Of The Year 2
2020	best action	"Paul Jennings, Oh Sea Young, Parvez Shaikh And Franz Spilhaus"	War
2020	best background score	Karsh Kale And The Salvage Audio Collective	Gully Boy
2020	best choreography	Remo D'Souza	Kalank
2020	best cinematography	Jay Oza	Gully Boy
2020	best costume	"Divvya Gambhir, Niddhi Gambhir"	Sonchiriya
2020	best editing	Shivkumar V Panicker	Uri: The Surgical Strike
2020	best production design	Suzanne Caplan Merwanji	Gully Boy
2020	best sound design	Bishwadeep Dipak Chatterjee And Nihar Ranjan Samal	Uri: The Surgical Strike
2020	best vfx	Sherry Bharda And Vishal Anand For Vfx	War
2020	best dialogue	Vijay Maurya	Gully Boy
2020	best screenplay	Reema Kagti|Zoya Akhtar	Gully Boy
2020	best original story	Anubhav Sinha|Gaurav Solanki	Article 15
2020	people's choice award for best short film	Rohit Bapu Kamble	Deshi
2020	best short film in fiction	Shazia Iqbal	Bebaak
2020	best short film in non fiction	Ananth Narayan Mahadevan	Village Of A Lesser God
2020	best actor female short film	Sarah Hashmi	Bebaak
2020	best actor male short film	Rajesh Sharma	Tindey
2020	rd burman award for upcoming music talent	Sashwat Sachdev	Uri: The Surgical Strike
2020	30 years of outstanding contribution to bollywood fashion	Manish Malhotra	
2020	excellence in cinema	Govinda	
2020	lifetime achievement award	Ramesh Sippy	
2019	best film	Raazi	
2019	critics best film	Andhadhun	
2019	best actor in a leading role (male)	Ranbir Kapoor	Sanju
2019	critics best actor in a leading role (male)	Ranveer Singh	Padmaavat
2019	best actor in a leading role (female)	Alia Bhatt	Raazi
2019	critics best actor in leading role (female)	Neena Gupta	Badhaai Ho
2019	best director	Meghna Gulzar	Raazi
2019	best actor in a supporting role (male)	Vicky Kaushal	Sanju
2019	best actor in a supporting role (female)	Surekha Sikri	Badhaai Ho
2019	best music album	Sanjay Leela Bhansali	Padmaavat
2019	best lyrics	Gulzar	Raazi
2019	best playback singer (male)	Arijit Singh	Raazi
2019	best playback singer (female)	Shreya Ghoshal	Padmaavat
2019	people's choice award for best short film	Plus Minus	
2019	best short film in fiction	Rogan Josh	
2019	best short film in non fiction	The Soccer City	
2019	best actor female short film	Kirti Kulhari	Maya
2019	best actor male short film	Hussain Dalal	Shameless
2019	rd burman award for upcoming talent in film music	Niladri Kumar	Laila Majnu
2019	50 years of outstanding contribution to cinema	Hema Malini	
2019	best debut female	Sara Ali Khan	Kedarnath
2019	best debut male	Ishaan Khattar	Beyond The Clouds
2019	best debut director	Amar Kaushik	Stree
2019	lifetime achievement award	Sridevi	
2019	best original story	Anubhav Sinha	Mulk
2019	best screenplay	Sriram Raghavan|Arijit Biswas|Pooja Ladha Surti|Yogesh Chandekar|Hemanth Rao	Andhadhun
2019	best dialogue	Akshat Ghildial	Badhaai Ho
2019	best editing	Pooja Ladha Surti	Andhadhun
2019	best action	Vikram Dahiya And Sunil Rodriguez	Mukkabaaz
2019	best background score	Daniel B. George	Andhadhun
2019	best choreography	Kruti Mahesh Midya And Jyothi D Tommaar	Padmaavat
2019	best cinematography	Pankaj Kumar	Tumbbad
2019	best costume	Sheetal Sharma	Manto
2019	best production design	"Nitin Zihani Choudhary, Rakesh Yadav"	Tumbbad
2019	best sound design	Kunal Sharma	Tumbbad
2019	best vfx	Red Chillies Vfx	Zero
2018	best film	Hindi Medium	
2018	critics best film	Newton	
2018	best actor in a leading role (male)	Irrfan Khan	Hindi Medium
2018	critics best actor in a leading role (male)	Rajkumar Rao	Trapped
2018	best actor in a leading role (female)	Vidya Balan	Tumhari Sulu
2018	critics best actress	Zaira Wasim	Secret Superstar
2018	best director	Ashwiny Iyer Tiwari	Bareilly Ki Barfi
2018	best actor in a supporting role (male)	Rajkummar Rao	Bareilly Ki Barfi
2018	best actor in a supporting role (female)	Meher Vij	Secret Superstar
2018	best music album	Pritam	Jagga Jasoos
2018	best lyrics	Amitabh Bhattacharya	Jagga Jasoos
2018	best playback singer (male)	Arijit Singh	Badrinath Ki Dulhania
2018	best playback singer (female)	Meghna Mishra	Secret Superstar
2018	people's choice award for best short film	Anahut	Anahut
2018	best short film in fiction	Juice	Juice
2018	best short film in non fiction	Invisible Wings	Invisible Wings
2018	best actor female short film	Shefali Shah	Juice
2018	best actor male short film	Jackie Shroff	Khujli
2018	best action	Tom Struthers	Tiger Zinda Hai
2018	best background score	Pritam	Jagga Jasoos
2018	best choreography	Vijay Ganguly And Ruel Dausan Varindani	Galti Se Mistake
2018	best costume	Rohit Chaturvedi	A Death In The Gunj
2018	best cinematography	Sirsha Ray	A Death In The Gunj
2018	best editing	Nitin Baid	Trapped
2018	best sound design	Anish John	Trapped
2018	best production design	Parul Sondh	Daddy
2018	best original story	Amit Masurkar	Newton
2018	best screenplay	Shubhashish Bhutiani	Mukti Bhawan
2018	best dialogue	Hitesh Kewalya	Shubh Mangal Saavdhan
2018	best debut director	Konkona Sen Sharma	A Death In The Gunj
2018	lifetime achievement award	Mala Sinha & Bappi Lahiri	
2017	best film	Dangal	
2017	best director	Nitish Tiwari	Dangal
2017	best actor in a leading role (male)	Aamir Khan	Dangal
2017	best actor in a leading role (female)	Alia Bhatt	Udta Punjab
2017	best actor in a supporting role (male)	Rishi Kapoor	Kapoor & Sons
2017	best actor in a supporting role (female)	Shabana Azmi	Neerja
2017	best music album	Pritam	Ae Dil Hai Mushkil
2017	best lyrics	Amitabh Bhattacharya	Ae Dil Hai Mushkil
2017	best playback singer (male)	Arijit Singh	Ae Dil Hai Mushkil
2017	best playback singer (female)	Neha Bhasin	Sultan
2017	people's choice award for best short film	Khamakha	Khamakha
2017	best short film in fiction	Chutney	Chutney
2017	best short film in non fiction	Matitali Kusti	Matitali Kusti
2017	best actor female short film	Tisca Chopra	Chutney
2017	best actor male short film	Manoj Bajpai	Taandav
2017	best dialogue	Ritesh Shah	
2017	best production design	Anna Ipe & Aparna Sud	
2017	best screenplay	Shakun Batra|Ayesha DeVitre	
2017	critics’ award - best film	Ram Madhvani	
2017	best actor critics’ award	Shahid Kapoor (Udta Punjab)/ Manoj Bajpayee(Aligarh)	
2017	best actress critics’ award	Sonam Kapoor	
2017	best choreographer	Adil Shaikh	Kar Gayi Chul
2017	lifetime achievement award	Shatrughan Sinha	
2017	best action	Sham Kaushal	
2017	best newcomer (male)	Diljit Dosanjh	
2017	best newcomer (female)	Ritika Singh	
2017	best newcomer (director)	Ashwiny Iyer Tiwari	
2017	best background score	Sameer Uddin	
2017	best costume designer	Payal Saluja	
2017	best vfx	Red Chillies Vfx	
2017	rd burman award	Amit Mishra	
2017	best story	Shakun Batra|Ayesha DeVitre	
2017	best cinematography	Mitesh Mirchandani	
2017	best sound design	Vivek Sachidanand	
2017	best editing	Monisha R Baldawa	
2016	best production design	"Sujeet Sawant, Sriram Iyengar & Saloni Dhatrak"	Bajirao Mastani
2016	best screenplay	Juhi Chaturvedi	Piku
2016	critics’ award—best film	Piku	
2016	best actor critics’award	Amitabh Bachchan	Piku
2016	best actress critics’award	Kangna Ranaut	Tanu Weds Manu Returns
2016	best choreographer	Pt. Birju Maharaj	Mohe Rang Do Laal
2016	lifetime achievement award	Moushmi Chatterji	Kapoor & Sons
2016	best newcomer (male)	Sooraj Pancholi	Hero
2016	best newcomer (female)	Bhumi Pednekar	Dum Laga Ke Haisha
2016	best newcomer (director)	Neeraj Ghaywan	Masaan
2016	best background score	Anupam Roy	Piku
2016	best costume designer	Anju Modi & Maxima Basu	Bajirao Mastani
2016	best vfx	Prana Studio	Bombay Velvet
2016	rd burman award	Armaan Mallik	Fan
2016	best film	Bajirao Mastani	
2016	best director	Sanjay Leela Bhansali	Bajirao Mastani
2016	best actor	Ranveer Singh	Bajirao Mastani
2016	best actress	Deepika Padukone	Piku
2016	best music director	Ankit Tiwari|Meet Bros|Anjan Malik|Amal Malik	Roy
2016	best actor in a supporting role	Anil Kapoor	Dil Dhadakne Do
2016	best actress in a supporting role	Priyanka Chopra	Bajirao Mastani
2016	best story	Vijayendra Prasad	Bajirao Mastani
2016	best cinematography	Manu Anand	Dum Laga Ke Haisha
2016	best sound design	Shajith Koyeri	Talvar
2016	best editing	A Sreekar Prasad	Talvar
2016	best playback singer (male)	Arijit Singh	Roy
2016	best playback singer (female)	Shreya Ghoshal	Bajirao Mastani
2016	best lyricist	Irshad Kamil	Tamasha
2016	best dialogue	Himanshu Sharma	Tanu Weds Manu Returns
2016	best action	Sham Kaushal	Bajirao Mastani
2015	best film	Queen	
2015	best director	Vikas Bahl	Queen
2015	best actor	Shahid Kapoor	Haider
2015	best actress	Kangana Ranaut	Queen
2015	best music director	Shankar-Ehsaan-Loy	2 States
2015	best actor in a supporting role	Kay Kay Menon	Haider
2015	best actress in a supporting role	Tabu	Haider
2015	best story	Rajat Kapoor	Ankhon Dekhi
2015	best cinematography	Bobby Singh & Siddharth Diwan	Queen
2015	best sound design	Anilkumar Konakandla & Prabal Pradhan	Mardaani
2015	best editing	Anurag Kashyap & Abhijit Kokate	Queen
2015	best playback singer (male)	Ankit Tiwari	Ek Villain
2015	best playback singer (female)	Kanika Kapoor	Ragini Mms2
2015	best lyricist	Rashmi Singh	Citylights
2015	best dialogue	Rajkumar Hirani|Abhijat Joshi	Pk
2015	best production design	Subrata Chakraborty & Amit Ray	Haider
2015	best screenplay	Rajkumar Hirani|Abhijat Joshi	Pk
2015	critics’ award - best film	Ankhon Dekhi	
2015	best actor critics’ award	Sanjay Mishra	Ankhon Dekhi
2015	best actress critics’ award	Alia Bhatt	Highway
2015	best choreographer	Ahmed Khan	Kick
2015	lifetime achievement award	Kamini Kaushal	
2015	best action	Sham Kaushal	Gunday
2015	best newcomer (male)	Fawad Khan	Khoobsurat
2015	best newcomer (female)	Kriti Sanon	Heropanti
2015	best newcomer (director)	Abhishek Varman	2 States
2015	best background score	Amit Trivedi	Queen
2015	best costume designer	Dolly Ahluwalia	Haider
2014	best film	Bhaag Milkha Bhaag	
2014	best director	Rakesh Omprakash Mehra	Bhaag Milkha Bhaag
2014	best actor	Farhan Akhtar	Bhaag Milkha Bhaag
2014	best actress	Deepika Padukone	Goliyon Ki Raasleela
2014	best music director	Ankit Tiwari|Mithoon|Jeet Ganguly	Aashiqui
2014	best actor in a supporting role	Nawazuddin Siddiqui	The Lunchbox
2014	best actress in a supporting role	Supriya Pathak	Goliyon Ki Raasleela
2014	best story	Subhash Kapoor	Jolly Llb
2014	best cinematography	Kamaljeet Negi	Madras Cafe
2014	best sound design	Bishwadeep Chatterjee & Nihar Ranjan Samal	Madras Cafe
2014	best editing	Aarif Sheikh	D
2014	best playback singer (male)	Arijit Singh	Aashiqui
2014	best playback singer (female)	Monali Thakur	Lootera
2014	best lyricist	Prasoon Joshi	Zinda
2014	best dialogue	Subhash Kapoor	Jolly Llb
2014	best production design /art direction	Sumit Basu	Bhaag Milkha Bhaag
2014	best screenplay	Pubali Chaudhuri|Supratik Sen|Abhishek Kapoor|Chetan Bhagat	Kai Po Che
2014	critics’ award - best film	Ritesh Batra	The Lunchbox
2014	best actor critics’ award	Rajkumar Rao	Shahid
2014	best actress critics’ award	Shilpa Shukla	Ba Pass
