Holiday	Year	start_date	end_date
Durga	1994	10/11/1994	10/14/1994
Diwali	1994	11/3/1994	11/3/1994
Holi	1994	3/26/1994	3/26/1994
Ganesh	1994	9/9/1994	9/9/1994
Navratri	1994	10/5/1994	10/5/1994
Dussehra	1994	10/13/1994	10/13/1994
Onam	1994	8/11/1994	8/21/1994
Eid al Fitr	1994	3/14/1994	3/15/1994
Republic Day	1994	1/26/1994	1/26/1994
Independence Day	1994	8/15/1994	8/15/1994
Gandhi Jayanti	1994	10/2/1994	10/2/1994
Durga	1995	10/1/1995	10/3/1995
Diwali	1995	10/23/1995	10/23/1995
Holi	1995	3/16/1995	3/16/1995
Ganesh	1995	9/25/1995	9/25/1995
Navratri	1995	9/25/1995	9/25/1995
Dussehra	1995	10/3/1995	10/3/1995
Onam	1995	8/28/1995	9/8/1995
Eid al Fitr	1995	3/3/1995	3/4/1995
Republic Day	1995	1/26/1995	1/26/1995
Independence Day	1995	8/15/1995	8/15/1995
Gandhi Jayanti	1995	10/2/1995	10/2/1995
Durga	1996	10/19/1996	10/22/1996
Diwali	1996	11/10/1996	11/10/1996
Holi	1996	3/4/1996	3/4/1996
Ganesh	1996	9/16/1996	9/16/1996
Navratri	1996	10/13/1996	10/13/1996
Dussehra	1996	10/21/1996	10/21/1996
Onam	1996	8/18/1996	8/28/1996
Eid al Fitr	1996	2/21/1996	2/22/1996
Republic Day	1996	1/26/1996	1/26/1996
Independence Day	1996	8/15/1996	8/15/1996
Gandhi Jayanti	1996	10/2/1996	10/2/1996
Durga	1997	10/9/1997	10/11/1997
Diwali	1997	10/30/1997	10/30/1997
Holi	1997	3/23/1997	3/23/1997
Ganesh	1997	9/6/1997	9/6/1997
Navratri	1997	10/2/1997	10/2/1997
Dussehra	1997	10/11/1997	10/11/1997
Onam	1997	9/4/1997	9/14/1997
Eid al Fitr	1997	2/9/1997	2/10/1997
Republic Day	1997	1/26/1997	1/26/1997
Independence Day	1997	8/15/1997	8/15/1997
Gandhi Jayanti	1997	10/2/1997	10/2/1997
Durga	1998	9/28/1998	10/1/1998
Diwali	1998	10/19/1998	10/19/1998
Holi	1998	3/12/1998	3/12/1998
Ganesh	1998	9/21/1998	9/21/1998
Navratri	1998	9/21/1998	9/21/1998
Dussehra	1998	10/1/1998	10/1/1998
Onam	1998	8/25/1998	9/5/1998
Eid al Fitr	1998	1/30/1998	1/31/1998
Republic Day	1998	1/26/1998	1/26/1998
Independence Day	1998	8/15/1998	8/15/1998
Gandhi Jayanti	1998	10/2/1998	10/2/1998
Durga	1999	10/16/1999	10/20/1999
Diwali	1999	11/7/1999	11/7/1999
Holi	1999	3/1/1999	3/1/1999
Ganesh	1999	9/13/1999	9/13/1999
Navratri	1999	10/10/1999	10/10/1999
Dussehra	1999	10/19/1999	10/19/1999
Onam	1999	8/15/1999	8/25/1999
Eid al Fitr	1999	1/19/1999	1/20/1999
Republic Day	1999	1/26/1999	1/26/1999
Independence Day	1999	8/15/1999	8/15/1999
Gandhi Jayanti	1999	10/2/1999	10/2/1999
Durga	2000	10/4/2000	10/8/2000
Diwali	2000	10/26/2000	10/26/2000
Holi	2000	3/19/2000	3/19/2000
Ganesh	2000	9/1/2000	9/1/2000
Navratri	2000	9/28/2000	9/28/2000
Dussehra	2000	10/7/2000	10/7/2000
Onam	2000	8/31/2000	9/10/2000
Eid al Fitr	2000	12/27/2000	12/28/2000
Republic Day	2000	1/26/2000	1/26/2000
Independence Day	2000	8/15/2000	8/15/2000
Gandhi Jayanti	2000	10/2/2000	10/2/2000
Durga	2001	10/23/2001	10/26/2001
Diwali	2001	11/14/2001	11/14/2001
Holi	2001	3/9/2001	3/9/2001
Ganesh	2001	8/22/2001	8/22/2001
Navratri	2001	10/17/2001	10/17/2001
Dussehra	2001	10/26/2001	10/26/2001
Onam	2001	8/21/2001	8/31/2001
Eid al Fitr	2001	12/16/2001	12/17/2001
Republic Day	2001	1/26/2001	1/26/2001
Independence Day	2001	8/15/2001	8/15/2001
Gandhi Jayanti	2001	10/2/2001	10/2/2001
Durga	2002	10/12/2002	10/15/2002
Diwali	2002	11/4/2002	11/4/2002
Holi	2002	3/28/2002	3/28/2002
Ganesh	2002	9/10/2002	9/10/2002
Navratri	2002	10/7/2002	10/7/2002
Dussehra	2002	10/15/2002	10/15/2002
Onam	2002	8/12/2002	8/22/2002
Eid al Fitr	2002	12/5/2002	12/6/2002
Republic Day	2002	1/26/2002	1/26/2002
Independence Day	2002	8/15/2002	8/15/2002
Gandhi Jayanti	2002	10/2/2002	10/2/2002
Durga	2003	10/2/2003	10/5/2003
Diwali	2003	10/25/2003	10/25/2003
Holi	2003	3/17/2003	3/17/2003
Ganesh	2003	8/31/2003	8/31/2003
Navratri	2003	9/26/2003	9/26/2003
Dussehra	2003	10/5/2003	10/5/2003
Onam	2003	8/30/2003	9/9/2003
Eid al Fitr	2003	11/26/2003	11/27/2003
Republic Day	2003	1/26/2003	1/26/2003
Independence Day	2003	8/15/2003	8/15/2003
Gandhi Jayanti	2003	10/2/2003	10/2/2003
Durga	2004	10/20/2004	10/23/2004
Diwali	2004	11/12/2004	11/12/2004
Holi	2004	3/6/2004	3/6/2004
Ganesh	2004	9/18/2004	9/18/2004
Navratri	2004	10/14/2004	10/14/2004
Dussehra	2004	10/22/2004	10/22/2004
Onam	2004	8/19/2004	8/29/2004
Eid al Fitr	2004	11/14/2004	11/15/2004
Republic Day	2004	1/26/2004	1/26/2004
Independence Day	2004	8/15/2004	8/15/2004
Gandhi Jayanti	2004	10/2/2004	10/2/2004
Durga	2005	10/10/2005	10/13/2005
Diwali	2005	11/1/2005	11/1/2005
Holi	2005	3/25/2005	3/25/2005
Ganesh	2005	9/7/2005	9/7/2005
Navratri	2005	10/4/2005	10/4/2005
Dussehra	2005	10/12/2005	10/12/2005
Onam	2005	9/6/2005	9/16/2005
Eid al Fitr	2005	11/3/2005	11/4/2005
Republic Day	2005	1/26/2005	1/26/2005
Independence Day	2005	8/15/2005	8/15/2005
Gandhi Jayanti	2005	10/2/2005	10/2/2005
Durga	2006	9/29/2006	10/2/2006
Diwali	2006	10/21/2006	10/21/2006
Holi	2006	3/14/2006	3/14/2006
